,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Predicted
53,4116.0,1000.0,30.0,180.0,Male,Yes,2,Graduate,No,1.0,Urban,0
54,5293.0,0.0,92.0,360.0,Male,Yes,0,Not Graduate,Yes,1.0,Urban,0
55,2750.0,0.0,130.0,360.0,Male,No,0,Graduate,No,0.0,Urban,1
56,4402.0,0.0,130.0,360.0,Female,No,0,Not Graduate,No,1.0,Rural,0
57,3613.0,3539.0,134.0,180.0,Male,Yes,2,Graduate,No,1.0,Semiurban,0
58,2779.0,3664.0,176.0,360.0,Female,Yes,2,Graduate,No,0.0,Semiurban,1
59,4720.0,0.0,90.0,180.0,Male,Yes,3+,Graduate,No,1.0,Semiurban,0
60,2415.0,1721.0,110.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Semiurban,0
61,7016.0,292.0,125.0,360.0,Male,Yes,0,Graduate,Yes,1.0,Urban,0
62,4968.0,0.0,189.0,360.0,Female,No,2,Graduate,No,1.0,Semiurban,0
63,2101.0,1500.0,108.0,360.0,Female,No,0,Graduate,No,0.0,Rural,1
64,4490.0,0.0,125.0,360.0,Male,Yes,3+,Not Graduate,No,1.0,Urban,0
65,2917.0,3583.0,138.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
66,4700.0,0.0,135.0,360.0,Male,Yes,0,Not Graduate,No,0.0,Semiurban,1
67,3445.0,0.0,130.0,360.0,Male,Yes,0,Graduate,No,0.0,Semiurban,1
68,7666.0,0.0,187.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
69,2458.0,5105.0,188.0,360.0,Male,Yes,0,Graduate,No,0.0,Rural,1
70,3250.0,0.0,95.0,360.0,Female,No,0,Graduate,No,1.0,Semiurban,0
71,4463.0,0.0,65.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
72,4083.0,1775.0,139.0,60.0,Male,Yes,1,Graduate,No,1.0,Urban,0
73,3900.0,2094.0,232.0,360.0,Male,Yes,0,Graduate,Yes,1.0,Rural,0
74,4750.0,3583.0,144.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Semiurban,0
75,3583.0,3435.0,155.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
76,3189.0,2367.0,186.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
77,6356.0,0.0,50.0,360.0,Male,No,0,Graduate,Yes,1.0,Rural,0
78,3413.0,4053.0,185.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
79,7950.0,0.0,185.0,360.0,Female,Yes,0,Graduate,No,1.0,Urban,0
80,3829.0,1103.0,163.0,360.0,Male,Yes,3+,Graduate,No,0.0,Urban,1
81,72529.0,0.0,360.0,360.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
82,4136.0,0.0,149.0,480.0,Male,Yes,2,Not Graduate,No,0.0,Rural,1
83,8449.0,0.0,257.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
84,4456.0,0.0,131.0,180.0,Male,Yes,0,Graduate,No,0.0,Semiurban,1
85,4635.0,8000.0,102.0,180.0,Male,Yes,2,Graduate,No,1.0,Rural,0
86,3571.0,1917.0,135.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
87,3066.0,0.0,95.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
88,3235.0,2015.0,77.0,360.0,Male,No,2,Not Graduate,No,1.0,Semiurban,0
89,5058.0,0.0,200.0,360.0,Female,No,0,Graduate,No,1.0,Rural,0
90,3188.0,2286.0,130.0,360.0,Male,Yes,0,Graduate,Yes,1.0,Rural,0
91,13518.0,0.0,390.0,360.0,Male,Yes,3+,Graduate,No,1.0,Rural,0
92,4364.0,2500.0,185.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
93,4766.0,1646.0,100.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Semiurban,0
94,4609.0,2333.0,123.0,360.0,Male,Yes,1,Graduate,No,0.0,Semiurban,1
95,6260.0,0.0,110.0,360.0,Female,Yes,3+,Graduate,No,1.0,Semiurban,0
96,3333.0,4200.0,256.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
97,3500.0,3250.0,140.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
98,9719.0,0.0,61.0,360.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
99,6835.0,0.0,188.0,360.0,Male,Yes,3+,Graduate,No,1.0,Semiurban,0
100,4452.0,0.0,131.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
101,2262.0,0.0,116.0,480.0,Female,Yes,0,Graduate,No,0.0,Semiurban,1
102,3901.0,0.0,116.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
103,2687.0,0.0,50.0,180.0,Male,Yes,2,Not Graduate,No,1.0,Rural,0
104,2243.0,2233.0,107.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
105,3417.0,1287.0,200.0,360.0,Female,Yes,0,Graduate,No,1.0,Semiurban,0
106,1596.0,1760.0,119.0,360.0,Male,No,0,Graduate,No,0.0,Urban,1
107,4513.0,0.0,120.0,360.0,Male,Yes,3+,Graduate,No,1.0,Rural,0
108,4500.0,0.0,140.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
109,4523.0,1350.0,165.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Urban,0
110,4742.0,0.0,108.0,360.0,Female,No,0,Graduate,Yes,1.0,Semiurban,0
111,4082.0,0.0,93.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
112,3417.0,0.0,102.0,360.0,Female,No,0,Graduate,No,1.0,Urban,0
113,2922.0,3396.0,122.0,360.0,Female,Yes,2,Graduate,No,1.0,Semiurban,0
114,4167.0,4754.0,160.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
115,4243.0,4123.0,157.0,360.0,Male,No,3+,Graduate,No,1.0,Semiurban,0
116,0.0,1760.0,180.0,360.0,Female,No,0,Not Graduate,No,1.0,Semiurban,0
117,1516.0,2900.0,80.0,360.0,Male,Yes,1,Graduate,No,0.0,Rural,1
118,1762.0,2666.0,104.0,360.0,Female,No,0,Graduate,No,0.0,Urban,1
119,724.0,3510.0,213.0,360.0,Male,Yes,2,Graduate,No,0.0,Rural,1
120,3125.0,0.0,65.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
121,2333.0,3803.0,146.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
122,3350.0,1560.0,135.0,360.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
123,2500.0,6414.0,187.0,360.0,Male,No,0,Graduate,No,0.0,Rural,1
124,12500.0,0.0,300.0,360.0,Female,No,0,Graduate,No,0.0,Urban,1
125,4667.0,0.0,120.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
126,6500.0,0.0,71.0,360.0,Male,No,0,Graduate,No,0.0,Urban,1
127,7500.0,0.0,225.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
128,3073.0,0.0,70.0,180.0,Male,No,0,Graduate,No,1.0,Urban,0
129,3321.0,2088.0,70.0,360.0,Male,Yes,1,Not Graduate,No,1.0,Semiurban,0
130,3333.0,1270.0,124.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
131,3391.0,0.0,132.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
132,3343.0,1517.0,105.0,360.0,Male,Yes,1,Graduate,Yes,1.0,Rural,0
133,3620.0,0.0,90.0,360.0,Female,No,1,Graduate,No,1.0,Urban,0
134,4000.0,0.0,83.0,84.0,Male,No,0,Graduate,No,1.0,Urban,0
135,4258.0,0.0,125.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
136,4500.0,0.0,147.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
137,2014.0,2925.0,120.0,360.0,Male,Yes,1,Graduate,No,1.0,Rural,0
138,3333.0,1250.0,110.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
139,4083.0,0.0,103.0,360.0,Female,No,3+,Graduate,No,1.0,Semiurban,0
140,4727.0,0.0,150.0,360.0,Male,No,0,Graduate,No,0.0,Rural,1
141,3089.0,2999.0,100.0,240.0,Male,Yes,3+,Graduate,No,1.0,Rural,0
142,6794.0,528.0,139.0,360.0,Male,Yes,3+,Not Graduate,No,0.0,Urban,1
143,32000.0,0.0,550.0,360.0,Male,Yes,0,Graduate,Yes,1.0,Semiurban,0
144,10890.0,0.0,260.0,12.0,Male,Yes,2,Graduate,Yes,1.0,Rural,0
145,12941.0,0.0,150.0,300.0,Female,No,0,Graduate,No,1.0,Urban,0
146,3276.0,0.0,90.0,360.0,Male,No,0,Not Graduate,No,1.0,Semiurban,0
147,8703.0,0.0,199.0,360.0,Male,No,0,Not Graduate,Yes,0.0,Rural,1
148,4742.0,717.0,139.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
149,5900.0,0.0,150.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
150,3071.0,4309.0,180.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
151,2783.0,1456.0,113.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
152,5000.0,0.0,148.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
153,2463.0,2360.0,117.0,360.0,Male,Yes,1,Not Graduate,No,0.0,Urban,1
154,4855.0,0.0,72.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
155,1599.0,2474.0,125.0,300.0,Male,No,0,Not Graduate,Yes,1.0,Semiurban,0
156,4246.0,4246.0,214.0,360.0,Male,Yes,2,Graduate,Yes,1.0,Urban,0
157,4333.0,2291.0,133.0,350.0,Male,Yes,0,Graduate,No,1.0,Rural,0
158,5823.0,2529.0,187.0,360.0,Male,No,1,Graduate,No,1.0,Semiurban,0
159,7895.0,0.0,143.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Rural,0
160,4150.0,4256.0,209.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
161,2964.0,0.0,84.0,360.0,Male,No,0,Graduate,No,0.0,Semiurban,1
162,5583.0,0.0,116.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
163,2708.0,0.0,65.0,360.0,Female,No,0,Graduate,No,1.0,Rural,0
164,3180.0,2370.0,80.0,240.0,Male,No,1,Graduate,No,1.0,Rural,0
165,2268.0,0.0,170.0,360.0,Male,No,0,Not Graduate,No,0.0,Semiurban,1
166,1141.0,2017.0,120.0,360.0,Male,No,2,Not Graduate,No,0.0,Urban,1
167,3042.0,3167.0,135.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
168,1750.0,2935.0,94.0,360.0,Female,Yes,3+,Graduate,No,0.0,Semiurban,1
169,3564.0,0.0,79.0,360.0,Female,Yes,1,Graduate,No,1.0,Rural,0
170,3958.0,0.0,110.0,360.0,Female,No,0,Graduate,No,1.0,Rural,0
171,4483.0,0.0,130.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Rural,0
172,5225.0,0.0,143.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
173,3017.0,2845.0,159.0,180.0,Male,No,0,Graduate,No,0.0,Urban,1
174,2431.0,1820.0,110.0,360.0,Male,Yes,0,Not Graduate,No,0.0,Rural,1
175,4912.0,4614.0,160.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
176,2500.0,3333.0,131.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Urban,0
177,2918.0,0.0,65.0,360.0,Female,No,0,Graduate,No,1.0,Rural,0
178,5128.0,0.0,143.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
179,15312.0,0.0,187.0,360.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
180,3958.0,2632.0,160.0,360.0,Male,Yes,2,Graduate,No,1.0,Semiurban,0
181,4334.0,2945.0,165.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
182,4358.0,0.0,110.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
183,4000.0,3917.0,173.0,360.0,Female,Yes,1,Graduate,No,1.0,Rural,0
184,10166.0,750.0,150.0,360.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
185,4483.0,0.0,135.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Semiurban,0
186,4521.0,1184.0,150.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Semiurban,0
187,9167.0,0.0,235.0,360.0,Male,Yes,2,Graduate,No,1.0,Semiurban,0
188,13083.0,0.0,336.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Rural,0
189,7874.0,3967.0,336.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
190,4333.0,0.0,132.0,84.0,Female,Yes,1,Graduate,No,1.0,Rural,0
191,4083.0,0.0,96.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
192,3785.0,2912.0,180.0,360.0,Male,Yes,2,Not Graduate,No,0.0,Rural,1
193,2654.0,1998.0,128.0,360.0,Male,Yes,3+,Not Graduate,No,0.0,Rural,1
194,10000.0,2690.0,412.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
195,5833.0,0.0,116.0,360.0,Male,No,0,Graduate,Yes,1.0,Urban,0
196,4796.0,0.0,114.0,360.0,Male,Yes,1,Graduate,No,0.0,Semiurban,1
197,2000.0,1600.0,115.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Rural,0
198,2540.0,700.0,104.0,360.0,Male,Yes,2,Graduate,No,0.0,Urban,1
199,1900.0,1442.0,88.0,360.0,Male,Yes,0,Graduate,Yes,1.0,Rural,0
200,8706.0,0.0,108.0,480.0,Male,Yes,0,Graduate,Yes,1.0,Rural,0
201,2855.0,542.0,90.0,360.0,Male,Yes,3+,Not Graduate,No,1.0,Urban,0
202,3016.0,1300.0,100.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
203,3159.0,2374.0,108.0,360.0,Female,Yes,0,Graduate,No,1.0,Semiurban,0
204,1937.0,1152.0,78.0,360.0,Female,No,0,Graduate,No,1.0,Semiurban,0
205,2613.0,2417.0,123.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
206,4960.0,2600.0,187.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
207,3074.0,1083.0,146.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
208,4213.0,0.0,80.0,360.0,Female,No,0,Graduate,No,1.0,Urban,0
209,2038.0,4027.0,100.0,360.0,Male,No,1,Not Graduate,No,1.0,Rural,0
210,2362.0,0.0,55.0,360.0,Female,No,0,Graduate,No,1.0,Urban,0
211,5333.0,2400.0,200.0,360.0,Male,No,0,Graduate,No,0.0,Rural,1
212,5384.0,0.0,150.0,360.0,Male,Yes,3+,Graduate,Yes,1.0,Semiurban,0
213,5708.0,0.0,150.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
214,3754.0,3719.0,118.0,300.0,Male,Yes,0,Not Graduate,No,1.0,Rural,0
215,2914.0,2130.0,150.0,300.0,Male,Yes,0,Not Graduate,No,1.0,Urban,0
216,2747.0,2458.0,118.0,36.0,Male,Yes,0,Not Graduate,No,1.0,Semiurban,0
217,7830.0,2183.0,212.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
218,3507.0,3148.0,212.0,360.0,Male,Yes,1,Graduate,Yes,1.0,Rural,0
219,3747.0,2139.0,125.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
220,2166.0,2166.0,108.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
221,3500.0,2168.0,149.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Rural,0
222,2896.0,0.0,80.0,480.0,Male,Yes,2,Not Graduate,No,1.0,Urban,0
223,5062.0,0.0,152.0,300.0,Female,No,1,Graduate,No,1.0,Rural,0
224,5184.0,0.0,187.0,360.0,Female,No,2,Graduate,Yes,0.0,Semiurban,1
225,2545.0,0.0,74.0,360.0,Female,No,0,Graduate,No,1.0,Urban,0
226,2553.0,1768.0,102.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
227,3436.0,3809.0,100.0,360.0,Male,Yes,1,Graduate,No,1.0,Rural,0
228,2412.0,2755.0,130.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
229,5180.0,0.0,125.0,360.0,Male,Yes,3+,Not Graduate,No,0.0,Urban,1
230,14911.0,14507.0,130.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
231,2860.0,2988.0,138.0,360.0,Male,No,0,Graduate,Yes,1.0,Urban,0
232,1173.0,1594.0,28.0,180.0,Male,Yes,0,Graduate,No,1.0,Rural,0
233,7600.0,0.0,92.0,360.0,Female,No,1,Graduate,No,1.0,Semiurban,0
234,2157.0,1788.0,104.0,360.0,Female,Yes,0,Graduate,No,1.0,Urban,0
235,2231.0,2774.0,176.0,360.0,Male,No,0,Graduate,No,0.0,Urban,1
236,2274.0,5211.0,117.0,360.0,Female,No,0,Graduate,No,0.0,Semiurban,1
237,6166.0,13983.0,102.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Rural,0
238,2513.0,1110.0,107.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Semiurban,0
239,4333.0,0.0,66.0,480.0,Male,No,0,Graduate,No,1.0,Urban,0
240,3844.0,0.0,105.0,360.0,Male,No,0,Not Graduate,No,1.0,Urban,0
241,3887.0,1517.0,105.0,360.0,Male,Yes,0,Graduate,No,0.0,Semiurban,1
242,3510.0,828.0,105.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
243,2539.0,1704.0,125.0,360.0,Male,Yes,0,Graduate,No,0.0,Rural,1
244,2107.0,0.0,64.0,360.0,Female,No,0,Not Graduate,No,1.0,Semiurban,0
245,3186.0,3145.0,150.0,180.0,Male,Yes,0,Graduate,No,0.0,Semiurban,1
246,5000.0,2166.0,150.0,360.0,Male,Yes,2,Graduate,Yes,1.0,Urban,0
247,10000.0,0.0,64.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
248,3943.0,0.0,64.0,360.0,Male,Yes,0,Not Graduate,Yes,1.0,Semiurban,0
249,2925.0,0.0,40.0,180.0,Male,No,0,Graduate,No,1.0,Rural,0
250,3242.0,437.0,142.0,480.0,Male,Yes,3+,Graduate,No,0.0,Urban,1
251,3863.0,0.0,70.0,300.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
252,4028.0,0.0,131.0,360.0,Female,No,1,Graduate,No,1.0,Semiurban,0
253,4010.0,1025.0,120.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
254,3719.0,1585.0,114.0,360.0,Female,Yes,1,Graduate,No,1.0,Urban,0
255,2858.0,0.0,123.0,360.0,Male,No,0,Graduate,No,0.0,Rural,1
256,3833.0,0.0,92.0,360.0,Female,Yes,0,Graduate,No,1.0,Rural,0
257,3333.0,4288.0,160.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
258,3007.0,3725.0,151.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
259,1850.0,4583.0,81.0,360.0,Female,No,1,Graduate,No,1.0,Rural,0
260,2792.0,2619.0,171.0,360.0,Male,Yes,3+,Not Graduate,No,1.0,Semiurban,0
261,2982.0,1550.0,110.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
262,3417.0,738.0,100.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
263,18840.0,0.0,234.0,360.0,Male,Yes,1,Graduate,No,1.0,Rural,0
264,2995.0,1120.0,184.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
265,3579.0,3308.0,138.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
266,3835.0,1400.0,112.0,480.0,Female,Yes,1,Not Graduate,No,0.0,Urban,1
267,3854.0,3575.0,117.0,360.0,Female,No,1,Not Graduate,No,1.0,Rural,0
268,5833.0,750.0,49.0,360.0,Male,Yes,2,Graduate,No,0.0,Rural,1
269,3508.0,0.0,99.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
270,1635.0,2444.0,99.0,360.0,Female,Yes,3+,Not Graduate,No,1.0,Urban,0
271,3333.0,3916.0,212.0,360.0,Female,No,0,Graduate,Yes,1.0,Rural,0
272,24797.0,0.0,240.0,360.0,Male,No,1,Graduate,No,1.0,Semiurban,0
273,5667.0,440.0,130.0,360.0,Male,Yes,2,Graduate,No,0.0,Semiurban,1
274,3500.0,0.0,94.0,360.0,Female,No,0,Graduate,No,0.0,Semiurban,1
275,2773.0,1497.0,108.0,360.0,Male,Yes,3+,Graduate,No,1.0,Semiurban,0
276,6500.0,0.0,144.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
277,5769.0,0.0,110.0,180.0,Female,No,0,Graduate,No,1.0,Semiurban,0
278,3634.0,910.0,176.0,360.0,Male,Yes,3+,Not Graduate,No,0.0,Semiurban,1
279,29167.0,0.0,185.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
280,2166.0,2057.0,122.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
281,5000.0,0.0,126.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
282,5530.0,0.0,135.0,360.0,Female,No,0,Graduate,No,1.0,Urban,0
283,9000.0,0.0,122.0,360.0,Male,No,0,Not Graduate,No,1.0,Rural,0
284,10000.0,11666.0,460.0,360.0,Female,Yes,2,Graduate,No,1.0,Urban,1
285,8750.0,0.0,297.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
286,2157.0,2730.0,140.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Rural,0
287,1972.0,4347.0,106.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
288,4983.0,0.0,141.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
289,8333.0,4000.0,170.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
290,3667.0,2000.0,170.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
291,3166.0,2833.0,145.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
292,3271.0,0.0,90.0,360.0,Male,No,0,Not Graduate,No,1.0,Rural,0
293,2241.0,2000.0,88.0,360.0,Female,Yes,0,Graduate,No,0.0,Urban,1
294,1792.0,2565.0,128.0,360.0,Male,Yes,1,Not Graduate,No,1.0,Urban,0
295,2666.0,0.0,84.0,480.0,Female,Yes,0,Graduate,No,1.0,Semiurban,0
296,6478.0,0.0,108.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
297,3808.0,0.0,83.0,360.0,Male,No,0,Not Graduate,No,1.0,Rural,0
298,3729.0,0.0,117.0,360.0,Female,Yes,2,Not Graduate,No,1.0,Semiurban,0
299,4120.0,0.0,128.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
